scientific_name,predictor,coefficient,se,order,common_name,eBird_spp_codes,Habitat.use,Habitat.type,Notes,HWI,Body.mass,Log.transformed.Body.Mass,TrophicLevel,TrophicNiche,Migration.1,Migration.2,Migration.3,Diet
Aegithina tiphia,bio4a,-3.0559536848006,0.512313879151816,Passeriformes,Common Iora,comior1,OC,Forest,forest edges as well as open habitats,9.442634919,12,1.079181246,Carnivore,Invertivore,Not a Migrant,1,resident,invertebrates
Aegithina tiphia,lc_09,13.1160611441651,5.3763378487535904,Passeriformes,Common Iora,comior1,OC,Forest,forest edges as well as open habitats,9.442634919,12,1.079181246,Carnivore,Invertivore,Not a Migrant,1,resident,invertebrates
Passer domesticus,bio15a,-1.67637003026553,0.598163233074882,Passeriformes,House Sparrow,houspa,OC,Generalist,Widespread generalist,25.709883,27.7,1.423409728,Herbivore,Granivore,Not a Migrant,1,dispersive migratory,seeds
Passer domesticus,bio4a,3.20955458222176,0.622744087344637,Passeriformes,House Sparrow,houspa,OC,Generalist,Widespread generalist,25.709883,27.7,1.423409728,Herbivore,Granivore,Not a Migrant,1,dispersive migratory,seeds
Saxicola caprata,bio15a,4.00399561751252,1.01388678771338,Passeriformes,Pied Bushchat,piebus1,OC,Generalist,often seen in open habitats - tea plantations,11.2556987,15.2,1.181843588,Carnivore,Invertivore,Full Migrant,3,directional migratory,invertebrates
Saxicola caprata,bio4a,13.796204159156,1.49074128036824,Passeriformes,Pied Bushchat,piebus1,OC,Generalist,often seen in open habitats - tea plantations,11.2556987,15.2,1.181843588,Carnivore,Invertivore,Full Migrant,3,directional migratory,invertebrates
Saxicola caprata,lc_02,-3.80120017280733,1.23448322976348,Passeriformes,Pied Bushchat,piebus1,OC,Generalist,often seen in open habitats - tea plantations,11.2556987,15.2,1.181843588,Carnivore,Invertivore,Full Migrant,3,directional migratory,invertebrates
Motacilla maderaspatensis,lc_09,6.59054153036483,1.72832179446794,Passeriformes,White-browed wagtail,,OC,Generalist,Open habitats,NA,NA,NA,NA,NA,NA,NA,NA,NA
Psilopogon haemacephalus,bio15a,-2.70564916514044,0.573006883313003,Piciformes,Coppersmith Barbet,copbar1,OC,Generalist,Widespread generalist,25.0825522,46.7,1.648262406,Omnivore,Frugivore,Not a Migrant,1,resident,fruit
Psilopogon haemacephalus,bio4a,-1.28004958299927,0.360396857861813,Piciformes,Coppersmith Barbet,copbar1,OC,Generalist,Widespread generalist,25.0825522,46.7,1.648262406,Omnivore,Frugivore,Not a Migrant,1,resident,fruit
