sampling_event_identifier,nSp,totSoiSeen
S21396960,8,8
S40094463,22,22
S20909144,12,12
S20813579,23,23
S21006083,23,23
S20838432,16,16
S20772477,17,17
S21313174,10,10
S32692389,13,13
S20899011,15,15
S24977979,6,6
S24350160,6,6
S27617997,20,20
S20827764,15,15
S20983356,18,18
S20959881,17,17
S20876412,6,6
S20876390,6,6
S20922994,8,8
S21075827,7,7
S21079160,11,11
S21050240,7,7
S21093518,15,15
S21064421,7,7
S20867655,5,5
S21078857,11,11
S20899514,13,13
S21093721,8,8
S20763105,10,10
S20958175,17,17
S20838454,11,11
S20867614,5,5
S20983346,18,18
S21063691,10,10
S20814801,10,10
S21093516,11,11
S21075828,7,7
S21108744,7,7
S21065384,7,7
S20876452,12,12
S21077547,15,15
S21080968,11,11
S20867023,5,5
S20814420,8,8
S21077734,15,15
S21092209,16,16
S21078879,4,4
S26855989,7,7
S25342622,11,11
S21108842,7,7
S20859066,14,14
S20983353,18,18
S21080982,11,11
S20813655,8,8
S20813473,7,7
S20958167,17,17
S21064026,7,7
S21092253,15,15
S21006084,7,7
S20814806,10,10
S21108777,7,7
S21093519,10,10
S25181598,8,8
S21050444,6,6
S21050348,7,7
S20942373,6,6
S20922276,10,10
S21093490,11,11
S21108387,10,10
S21093515,7,7
S20814796,8,8
S20801911,7,7
S21080974,7,7
S21078886,7,7
S27792191,5,5
S21079114,13,13
S20814434,7,7
S20827143,8,8
S21093513,13,13
S20911532,12,12
S21080979,13,13
S20763093,9,9
S32648546,1,1
S26856001,5,5
S26855991,6,6
S20911554,8,8
S26856201,10,10
S26856000,7,7
S21093443,10,10
S21079200,7,7
S20771526,12,12
S25342633,7,7
S21081000,7,7
S21093492,7,7
S26855987,5,5
S26855992,5,5
S20876446,4,4
S20838385,8,8
S20876442,4,4
S20867169,7,7
S26856202,8,8
S20876386,7,7
S26855988,5,5
S20898631,9,9
S26855986,9,9
S26855990,2,2
S20859193,7,7
S26855995,3,3
S20813444,5,5
S21006085,5,5
S20867156,1,1
S26855994,2,2
S21054400,19,19
S21050884,19,19
S21064759,19,19
S20951233,4,4
S67762178,3,3
S21120563,6,6
S24353285,6,6
S20933095,3,3
S20933089,4,4
S20867170,5,5
S20838237,1,1
S21064765,5,5
S20921700,1,1
S30082537,2,2
S21051184,5,5
S20859001,5,5
S21138482,35,35
S20933059,10,10
S21377380,14,14
S21362741,17,17
S21985885,40,40
S21274590,15,15
S21250982,23,23
S48613957,8,8
S21251165,7,7
S91219813,5,5
S21274624,10,10
S21274799,2,2
S21261167,5,5
S21274665,3,3
S21550738,42,42
S21550685,37,37
S21550736,34,34
S21550631,34,34
S21968200,28,28
S91220531,18,18
S21392506,30,30
S21532124,28,28
S21352007,30,30
S21379912,15,15
S21379828,15,15
S91219435,21,21
S22090462,14,14
S21274698,13,13
S21415150,20,20
S21261174,18,18
S21417796,19,19
S22121753,22,22
S21399830,16,16
S22121553,10,10
S21600545,3,3
S21274771,5,5
S21550735,12,12
S21550575,12,12
S21550797,11,11
S21274549,1,1
S21316410,8,8
S21393069,8,8
S21314552,8,8
S21133643,4,4
S21314384,3,3
S21316404,3,3
S21314801,5,5
S21393068,3,3
S21393072,5,5
S21316434,5,5
S21393071,3,3
S21314615,3,3
S21316435,3,3
S48798608,2,2
S48799112,7,7
S21413667,2,2
S51073439,5,5
S21415225,3,3
S21220911,4,4
S21315125,4,4
S21707076,15,15
S21394051,27,27
S21770641,41,41
S21710071,25,25
S23543105,16,16
S21293250,40,40
S21661020,18,18
S21409487,9,9
S21709523,19,19
S21248464,40,40
S21480591,46,46
S21309597,39,39
S21709953,10,10
S36511868,26,26
S21710231,25,25
S21682048,29,29
S21706856,16,16
S21668485,29,29
S21682112,31,31
S21672490,28,28
S21427819,16,16
S23543082,12,12
S21709787,12,12
S21769988,21,21
S21565018,13,13
S21668668,13,13
S21709883,10,10
S34068751,8,8
S21409474,6,6
S23543059,17,17
S21376639,4,4
S21770939,13,13
S21671620,4,4
S23732498,9,9
S21706899,2,2
S21409442,5,5
S23732477,5,5
S21409535,4,4
S21409508,3,3
S21588803,13,13
S21547835,21,21
S26998307,7,7
S21577061,18,18
S21590871,3,3
S21590533,3,3
S21548460,4,4
S21445790,2,2
S21236150,11,11
S21156078,21,21
S21578836,12,12
S33225567,34,34
S33238860,47,47
S21696851,13,13
S21155937,21,21
S21274289,12,12
S21529982,8,8
S21236153,6,6
S21155935,21,21
S21156387,21,21
S21249262,11,11
S21244650,11,11
S21414154,18,18
S21202060,14,14
S27282649,19,19
S21261801,19,19
S21576402,12,12
S21414719,16,16
S21480848,16,16
S21233210,14,14
S21480830,18,18
S33228570,25,25
S33227148,25,25
S21261646,19,19
S21260546,19,19
S21578918,12,12
S21441010,13,13
S21272924,11,11
S26856011,11,11
S21578958,14,14
S21246646,15,15
S21155922,20,20
S21156535,20,20
S21563571,12,12
S21512441,10,10
S21215014,8,8
S21136446,20,20
S21155920,20,20
S26856213,10,10
S21390810,10,10
S21201176,14,14
S21156188,8,8
S21156080,20,20
S21527876,12,12
S22902783,8,8
S21325529,10,10
S21598692,12,12
S26856008,7,7
S21487832,19,19
S21375977,11,11
S21120692,9,9
S21610170,13,13
S21260675,9,9
S21490172,11,11
S21430221,14,14
S21354915,18,18
S21393251,25,25
S21547820,10,10
S21363387,12,12
S21362970,12,12
S21375135,8,8
S26856203,8,8
S22295782,7,7
S21548334,12,12
S21261487,10,10
S21290833,7,7
S22321692,7,7
S26211190,16,16
S42175975,16,16
S21311541,11,11
S26856005,7,7
S26856205,6,6
S21182594,7,7
S21431362,16,16
S21696562,16,16
S21291009,10,10
S26856207,9,9
S26856020,9,9
S21134128,5,5
S21130342,8,8
S21111936,8,8
S21587041,9,9
S21115334,7,7
S21180735,13,13
S21112260,8,8
S21480842,7,7
S26856211,9,9
S21180276,13,13
S26856019,6,6
S21444182,4,4
S21231365,10,10
S21413988,7,7
S21410901,9,9
S21328321,7,7
S21548646,9,9
S21429967,11,11
S21232864,10,10
S21513272,4,4
S21327900,7,7
S21112352,4,4
S21415375,9,9
S21129523,8,8
S26856209,10,10
S21338662,7,7
S21112004,4,4
S21415286,11,11
S26856210,9,9
S21480835,10,10
S21112175,3,3
S21501423,8,8
