scientific_name,predictor,coefficient,se,order,common_name,eBird_spp_codes,Habitat.use,Habitat.type,Notes,HWI,Body.mass,Log.transformed.Body.Mass,TrophicLevel,TrophicNiche,Migration.1,Migration.2,Migration.3,Diet
Ocyceros griseus,Ibio_12^2,-6.0072780218834,1.86467824870965,Bucerotiformes,Malabar Gray Hornbill,maghor2,FOR,Forest,forest bird,16.59582064,292,2.465382851,Herbivore,Frugivore,Not a Migrant,1,resident,fruit
Upupa epops,bio_1,10.0818843839535,1.88758418445726,Bucerotiformes,Eurasian Hoopoe,hoopoe,OC,Generalist,Open habitats,21.7746589,61.4,1.825620825,Carnivore,Invertivore,Full Migrant,3,directional migratory,invertebrates
Upupa epops,Ibio_1^2,-11.8331257770625,1.86210406903627,Bucerotiformes,Eurasian Hoopoe,hoopoe,OC,Generalist,Open habitats,21.7746589,61.4,1.825620825,Carnivore,Invertivore,Full Migrant,3,directional migratory,invertebrates
Upupa epops,lc_04,1.81394843791415,0.807477293597583,Bucerotiformes,Eurasian Hoopoe,hoopoe,OC,Generalist,Open habitats,21.7746589,61.4,1.825620825,Carnivore,Invertivore,Full Migrant,3,directional migratory,invertebrates
Lanius schach,bio_1,15.9724453840534,2.12065799432358,Passeriformes,Long-tailed Shrike,lotshr1,OC,Generalist,Widespread generalist,19.99957577,51.6,1.71189155,Carnivore,Invertivore,Full Migrant,2,directional migratory,invertebrates
Lanius schach,Ibio_1^2,-21.6246075146616,2.32432727064524,Passeriformes,Long-tailed Shrike,lotshr1,OC,Generalist,Widespread generalist,19.99957577,51.6,1.71189155,Carnivore,Invertivore,Full Migrant,2,directional migratory,invertebrates
Lanius schach,lc_01,-1.67628544711941,0.488632115920765,Passeriformes,Long-tailed Shrike,lotshr1,OC,Generalist,Widespread generalist,19.99957577,51.6,1.71189155,Carnivore,Invertivore,Full Migrant,2,directional migratory,invertebrates
Psittacula columboides,bio_1,27.2326482960323,3.82652793641372,Psittaciformes,Malabar Parakeet,malpar1,FOR,Forest,forest bird,46.59881239,85.5,1.939469331,Herbivore,Omnivore,Nomadic,1,resident,omnivore
Psittacula columboides,Ibio_1^2,-17.5627387597731,2.94696204277713,Psittaciformes,Malabar Parakeet,malpar1,FOR,Forest,forest bird,46.59881239,85.5,1.939469331,Herbivore,Omnivore,Nomadic,1,resident,omnivore
Psittacula columboides,lc_09,5.31420697577542,2.26311057890364,Psittaciformes,Malabar Parakeet,malpar1,FOR,Forest,forest bird,46.59881239,85.5,1.939469331,Herbivore,Omnivore,Nomadic,1,resident,omnivore
Gracula indica,bio_1,10.0263940582721,2.34705973858295,Passeriformes,Southern Hill Myna,sohmyn1,FOR,Forest,forest habitats,22.18829439,126,2.100370545,Herbivore,Frugivore,NA,1,resident,NA
Gracula indica,Ibio_1^2,-5.73919761978548,1.98776309990801,Passeriformes,Southern Hill Myna,sohmyn1,FOR,Forest,forest habitats,22.18829439,126,2.100370545,Herbivore,Frugivore,NA,1,resident,NA
