sampling_event_identifier,nSp,totSoiSeen
S51013019,2,2
S17280547,12,12
S17487265,4,4
S74025523,8,8
S17427732,3,3
S17492429,2,2
S51013036,3,3
S51012874,6,6
S51013212,7,7
S68024372,6,6
S51242982,3,3
S51012848,2,2
S37443827,2,2
S37109944,2,2
S17491783,2,2
S74025499,4,4
S51013126,2,2
S51013000,3,3
S51013160,2,2
S17512149,1,1
S17472986,1,1
S58272949,24,24
S18234039,26,26
S18232290,26,26
S18233903,26,26
S18098061,16,16
S18051563,12,12
S18233088,17,17
S18233002,22,22
S18120968,13,13
S18077555,12,12
S18232869,30,30
S17899766,13,13
S18299867,7,7
S17955642,13,13
S68296915,6,6
S21075431,20,20
S29120102,9,9
S73134795,5,5
S58273477,12,12
S18296457,5,5
S18159531,5,5
S18051536,15,15
S17899761,6,6
S18051537,10,10
S17955643,11,11
S21075770,13,13
S17899763,12,12
S17836777,9,9
S17849400,8,8
S17899767,9,9
S17955641,7,7
S17955638,8,8
S18150658,9,9
S18150242,5,5
S18150360,7,7
S18159558,6,6
S18150768,9,9
S18280542,8,8
S18190043,8,8
S18077557,13,13
S18098054,10,10
S18150548,4,4
S18176766,6,6
S17836778,5,5
S17824460,6,6
S21396981,31,31
S25029249,18,18
S33762500,34,34
S34806742,34,34
S34217525,34,34
S21027418,18,18
S33762219,34,34
S40840913,34,34
S33762304,34,34
S33762289,34,34
S31984793,17,17
S17884030,13,13
S17938251,27,27
S17940165,31,31
S18281226,6,6
S18282279,3,3
S18311850,3,3
S18281773,5,5
S18281428,8,8
S18281948,5,5
S18312007,3,3
S18280931,9,9
S18281880,5,5
S18281585,7,7
S18281715,8,8
S18281662,5,5
S18282006,6,6
S18281303,7,7
S18311921,3,3
S18282159,6,6
S18311910,5,5
S18311934,6,6
S18311975,11,11
S18280886,9,9
S18311915,6,6
S18281008,4,4
S18281184,7,7
S18311925,2,2
S18281365,5,5
S18281137,7,7
S18311890,5,5
S18281081,7,7
S18311904,6,6
S18282368,2,2
S18311987,4,4
S18311994,1,1
S18312001,5,5
S18312011,1,1
S18265618,2,2
S18265365,1,1
S18265186,1,1
S21778730,12,12
S21754356,13,13
S21754335,12,12
S21778701,26,26
S17705117,24,24
S17750932,13,13
S17811673,30,30
S17750802,22,22
S17734425,15,15
S17734673,17,17
S17734461,15,15
S21754367,4,4
S18102569,21,21
S27643035,15,15
S18102026,15,15
S17885985,9,9
S17884088,19,19
S17883988,9,9
S17902335,20,20
S18118115,6,6
S17850567,15,15
S18133641,13,13
S17812307,7,7
S17902579,20,20
S17904550,20,20
S18101649,16,16
S18146369,7,7
S17930110,7,7
S17902480,11,11
S17915026,7,7
S17813357,3,3
S17824765,4,4
S17850733,10,10
S18083509,7,7
S24762791,9,9
S18247236,8,8
S18312017,2,2
S17939577,9,9
S17735119,4,4
S18102258,7,7
S18133332,8,8
S17824790,5,5
S17813119,3,3
S17850455,2,2
S17915065,1,1
S17824293,3,3
S17955593,9,9
S28806661,31,31
S33581912,14,14
S18118932,14,14
S18039310,31,31
S17849652,17,17
S17955449,13,13
S51254336,6,6
S51254208,7,7
S35234934,8,8
S18054032,17,17
S18079793,17,17
S27643021,19,19
S51250909,4,4
S33242508,1,1
S51253965,3,3
S51251532,5,5
S51253779,11,11
S51251319,6,6
S51253497,3,3
S51243172,8,8
S51250568,7,7
S51254077,2,2
S51249117,2,2
S51253310,3,3
S51249711,1,1
S21067943,3,3
S17691225,1,1
S51251164,3,3
S51243130,2,2
S17899971,1,1
S18146549,1,1
S18480445,41,41
S18685499,12,12
S20899190,37,37
S18176110,3,3
S18176774,12,12
S18684216,4,4
S18502643,40,40
S18176764,11,11
S18176243,5,5
S18491789,15,15
S18684388,11,11
S18176196,5,5
S18439536,8,8
S18439698,12,12
S18673234,8,8
S18685390,8,8
S18685343,7,7
S18439376,6,6
S18673314,1,1
S18518538,11,11
S31988144,9,9
S71625499,1,1
S29945120,20,20
S18413628,10,10
S18346248,13,13
S18161274,16,16
S18230775,12,12
S18233312,29,29
S18233578,25,25
S18210679,13,13
S18231149,16,16
S18233503,29,29
S18355859,17,17
S18161426,13,13
S18564488,41,41
S18630711,41,41
S31414575,32,32
S18564910,41,41
S18299930,13,13
S18332538,18,18
S27774544,10,10
S18352030,10,10
S27278237,7,7
S18355702,16,16
S18263954,14,14
S18234081,11,11
S18159825,17,17
S18192794,6,6
S18159859,17,17
S18263720,5,5
S18175293,6,6
S18230942,12,12
S18230875,12,12
S18210687,10,10
S18161343,10,10
S18351513,4,4
S18296212,7,7
S18211752,9,9
S18387759,9,9
S18296364,8,8
S18230699,12,12
S18161454,7,7
S18210677,7,7
S18368067,6,6
S18296178,1,1
S18161576,4,4
S18246789,4,4
S19769476,26,26
S51287519,5,5
S51287558,9,9
S21107579,11,11
S35041824,14,14
S51287283,7,7
S51287926,2,2
S51287413,2,2
S51287891,6,6
S51287587,5,5
S51287971,5,5
S51287358,3,3
S51287319,6,6
S51287847,4,4
S51287384,4,4
S18560493,10,10
S18560607,7,7
S19981062,8,8
S51287994,2,2
S71435040,7,7
S71434958,19,19
S71434331,16,16
S71435111,2,2
S21343333,3,3
S18925894,16,16
S18883878,25,25
S59094949,13,13
S25652784,14,14
S23239455,14,14
S18713406,17,17
S18713508,4,4
S35368070,11,11
S35530849,11,11
S20970903,10,10
S18713504,2,2
S21396984,41,41
S18727216,35,35
S18724650,41,41
S18738771,30,30
S18747844,27,27
S18951862,26,26
S18951952,27,27
S18960746,13,13
S18950140,25,25
S18914112,11,11
S18913029,26,26
S20445054,25,25
S18914092,11,11
S18892251,18,18
S18913032,20,20
S18959644,25,25
S80117253,17,17
S18647039,38,38
S24679454,18,18
S18645866,38,38
S20320102,17,17
S20320105,17,17
S18936942,31,31
S18841559,8,8
S18792728,31,31
S18892171,32,32
S18841469,14,14
S18891811,6,6
S18940936,11,11
S18850731,14,14
S18850739,14,14
S18950076,7,7
S18959641,13,13
S18892570,14,14
S18950089,13,13
S18703441,9,9
S18959643,7,7
S18814069,9,9
S18922674,13,13
S18724048,15,15
S18902538,9,9
S18940918,13,13
S18757169,10,10
S18747497,8,8
S18932287,11,11
S18775247,4,4
S18804451,7,7
S18804312,8,8
S18930646,6,6
S18932410,7,7
S18901631,5,5
S18850761,9,9
S18850775,9,9
S18783513,8,8
S18940900,12,12
S18833547,8,8
S18738653,6,6
S18765703,8,8
S18715176,7,7
S18671720,8,8
S18703389,6,6
S18841499,8,8
S18940922,7,7
S18940924,7,7
S18914325,3,3
S56491282,4,4
S56485172,3,3
S56484853,5,5
S18682488,3,3
S18841584,1,1
S18942068,16,16
S18793304,17,17
S18859996,16,16
S18859160,17,17
S27777535,6,6
S31490738,9,9
S18872671,18,18
S18942072,8,8
S18911878,8,8
S18911757,14,14
S18942069,14,14
S18814984,10,10
S18814803,4,4
S18815111,6,6
S18813940,6,6
S18814667,5,5
S18815157,7,7
S18814638,1,1
S18756399,27,27
S18844391,14,14
S18902516,2,2
S18714558,2,2
S51288186,9,9
S18851472,20,20
S18851541,20,20
S21575636,11,11
S51288085,10,10
S51288135,6,6
S18714521,1,1
S18902506,1,1
S51288117,2,2
S18949983,4,4
S51288155,5,5
S18814560,8,8
S18804366,11,11
S33615351,25,25
S33616244,33,33
S27643413,20,20
S19088823,28,28
S19088873,25,25
S19512771,6,6
S19513348,6,6
S19513345,6,6
S19512759,6,6
S19268643,2,2
S19268620,3,3
S19268639,1,1
S27643448,20,20
S19052839,4,4
S19080014,13,13
S19282626,9,9
S19094667,11,11
S18968202,12,12
S19042445,18,18
S19094662,6,6
S19017794,10,10
S19158983,6,6
S19147533,10,10
S19061097,11,11
S19125964,9,9
S19059105,8,8
S19257853,10,10
S19125895,10,10
S18994498,7,7
S19282765,9,9
S18961147,8,8
S19168068,10,10
S19042338,5,5
S19042284,10,10
S18977620,8,8
S18994982,6,6
S19043765,5,5
S18977658,7,7
S18984761,18,18
S18994491,7,7
S19268518,10,10
S19017889,4,4
S18984784,7,7
S19018117,4,4
S19017694,7,7
S19107653,2,2
S19018165,1,1
S19257880,8,8
S19042477,4,4
S19086478,1,1
S19133462,2,2
S19148702,10,10
S19148601,12,12
S19148917,6,6
S19148952,6,6
S19148787,8,8
S51288267,13,13
S19061002,26,26
S51288293,3,3
S51288333,5,5
S19203709,1,1
S51288232,1,1
S19203703,1,1
S19018266,14,14
S19018291,11,11
S49264698,33,33
S49265252,4,4
S29945298,7,7
S19512329,10,10
S19513346,9,9
S21513900,9,9
S19913720,12,12
S19913397,18,18
S19922339,18,18
S19502289,28,28
S19506560,29,29
S19496676,28,28
S68963842,8,8
S21778773,13,13
S19455303,4,4
S19463726,4,4
S19463884,4,4
S19465152,4,4
S19463887,4,4
S19463888,4,4
S19463730,4,4
S19454500,4,4
S19463711,4,4
S19454498,4,4
S19465136,4,4
S19463735,4,4
S19463703,1,1
S19463729,1,1
S19463886,1,1
S19455301,1,1
S19465130,7,7
S19452640,4,4
S19452742,5,5
S19463850,4,4
S19452644,7,7
S19465138,5,5
S19465121,4,4
S19463894,4,4
S19463893,7,7
S19463891,5,5
S19463846,5,5
S19463848,7,7
S19455310,2,2
S19463737,2,2
S19463889,2,2
S19452743,2,2
S19463715,2,2
S33630488,38,38
S40228870,38,38
S27641815,24,24
S33616447,28,28
S19457618,6,6
S23991188,16,16
S19539031,7,7
S19486124,14,14
S40231443,3,3
S27279502,7,7
S19578930,9,9
S19375725,12,12
S19359220,11,11
S19485768,11,11
S19567237,16,16
S19294055,5,5
S19556636,8,8
S21548127,2,2
S27563460,1,1
S19539769,14,14
S19610617,9,9
S19485857,10,10
S19578727,17,17
S19602274,6,6
S19611212,9,9
S19620094,10,10
S19611364,6,6
S19603216,4,4
S19385472,9,9
S19622283,11,11
S19578952,4,4
S19326251,9,9
S19586354,9,9
S19375739,5,5
S19411027,4,4
S80852021,4,4
S19325557,9,9
S19622217,8,8
S19304413,8,8
S19610627,6,6
S19348306,7,7
S19325570,6,6
S19622153,6,6
S19339608,6,6
S19348315,4,4
S19578975,4,4
S49264929,4,4
S19547051,4,4
S19578884,2,2
S19436583,2,2
S42356813,9,9
S31612030,2,2
S80755560,2,2
S51296939,5,5
S51297009,3,3
S19495168,21,21
S19506049,21,21
S23913901,39,39
S19495288,19,19
S19495044,19,19
S19506050,19,19
S19506047,19,19
S19503396,19,19
S19506046,20,20
S19495362,20,20
S51297162,7,7
S19436689,8,8
S51295812,4,4
S51296716,4,4
S51296598,2,2
S51297407,5,5
S28260228,2,2
S25524209,2,2
S51295949,4,4
S51295767,3,3
S68964017,26,26
S20557099,8,8
S19866417,8,8
S19866457,8,8
S19792115,21,21
S19798271,21,21
S19824995,18,18
S19921593,18,18
S19798269,5,5
S19791823,5,5
S19792216,5,5
S19798272,5,5
S23321666,6,6
S19866389,12,12
S19938235,3,3
S19866357,12,12
S19937497,3,3
S19931032,3,3
S19866245,7,7
S19866387,7,7
S19893282,6,6
S22461445,8,8
S19930927,5,5
S19824955,15,15
S19937505,5,5
S19911995,2,2
S19921591,15,15
S19911289,2,2
S19938250,5,5
S23321514,8,8
S19938244,5,5
S19931046,4,4
S19937493,2,2
S19937498,4,4
S19937490,5,5
S19866504,4,4
S19938233,2,2
S19938245,4,4
S19931116,5,5
S19931082,2,2
S25360908,5,5
S23321576,7,7
S19912001,7,7
S19931067,2,2
S19938237,2,2
S19937494,2,2
S23322053,6,6
S23322159,3,3
S19938239,2,2
S19937486,2,2
S19931140,2,2
S19911464,3,3
S23321810,5,5
S23321733,5,5
S23321978,3,3
S19791861,2,2
S19798270,2,2
S19937503,1,1
S19938251,1,1
S19930978,1,1
S33617440,30,30
S19831091,11,11
S19827749,13,13
S19799024,1,1
S19827783,9,9
S19827701,9,9
S19826197,10,10
S19826443,7,7
S19813458,3,3
S19826501,6,6
S19831155,5,5
S19818946,4,4
S19826249,8,8
S19831128,5,5
S19830997,8,8
S19855582,8,8
S20005866,11,11
S20005794,11,11
S19855557,3,3
S19855550,9,9
S19810732,2,2
S19847584,5,5
S19916150,8,8
S19916081,5,5
S19855553,8,8
S19855525,3,3
S19847606,4,4
S19855531,6,6
S20005801,3,3
S20005867,3,3
S19847535,1,1
S19801427,1,1
S19873544,22,22
S20331047,27,27
S19825517,27,27
S19863308,27,27
S19825504,27,27
S19872930,22,22
S19815422,3,3
S24679260,21,21
S19891407,7,7
S19913737,21,21
S19826021,7,7
S19848309,14,14
S19781618,21,21
S24677768,21,21
S19998537,14,14
